Day,Date,Day of Week,Duration,Section,Videos/Content,Quizzes,Completed,Notes
1,2026-01-17,Saturday,1h 17m,Introduction,"1.0, 1.1.1, 1.1.2, 1.1.3","2 quizzes",,
2,2026-01-18,Sunday,1h 16m,Part 1.1: Airframes & Engines,"1.1.4, 1.1.5, 1.1.6, 1.1.7, 1.1.8","5 quizzes",,
3,2026-01-19,Monday,1h 13m,Part 1.1: Aircraft Systems,"1.1.9, 1.1.10, 1.1.11, 1.1.12, 1.1.13, 1.1.14, 1.1.15, 1.1.16, 1.1.17","9 quizzes",,
4,2026-01-20,Tuesday,1h 15m,Part 1.1-1.2: Systems & Theory,"1.1.18, 1.1.19, 1.1.20, 1.1.21, 1.1.22, 1.1.23, 1.2.1, 1.2.2","5 quizzes",,
5,2026-01-21,Wednesday,1h 17m,Part 1.2: Theory of Flight,"1.2.3, 1.2.4, 1.2.5, 1.2.6, 1.2.7, 1.2.8, 1.2.9, 1.2.10, 1.2.11","9 quizzes",,
6,2026-01-22,Thursday,30m,Part 1.2: Theory of Flight (Round 1),"1.2.12, 1.2.13, 1.2.14, 1.2.15, 1.2.16","5 quizzes",,
6b,2026-01-22,Thursday,1h 20m,Part 1.3: Flight Instruments (Round 2),"1.3.1, 1.3.2, 1.3.3, 1.3.4, 1.3.5","1 quiz",,
7,2026-01-23,Friday,1h 11m,Part 1.4: Aircraft Performance,"1.4","1 quiz",,
8,2026-01-24,Saturday,1h 27m,Part 1.5: Flight Operations,"1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.5.5, 1.5.6, 1.5.7","5 quizzes",,
9,2026-01-25,Sunday,2h 1m,Part 1.5: Flight Operations,"1.5.8, 1.5.9, 1.5.10, 1.5.11, 1.5.12, 1.5.13","0 quizzes",,
10,2026-01-26,Monday,1h 20m,Part 1.6: Weight and Balance,"1.6.1, 1.6.2, 1.6.3","1 quiz",,
11,2026-01-27,Tuesday,1h 38m,Part 1.7-1.8: Advanced Ops & Human Factors,"1.7.1, 1.7.2, 1.7.3, Aircraft Docs, 1.7.4, 1.8.1","2 quizzes",,
12,2026-01-28,Wednesday,1h 23m,Part 1.8: Human Factors,"1.8.2, 1.8.3, 1.8.4, 1.8.6","0 quizzes",,
13,2026-01-29,Thursday,1h 16m,Part 1.8-2: Human Factors & Meteorology,", 2.1a, 2.1b","1 quiz",,
14,2026-01-30,Friday,1h 8m,Part 2: Meteorology,"Quiz, 2.2,2.3.1, 2.3.2, 2.3.3","1 quiz",,
15,2026-01-31,Saturday,1h 35m,Part 2: Meteorology,"Reading, 2.3.4,2.3.5, 2.3.6, 2.3.7, 2.3.8, 2.3.10, 2.3.11","0 quizzes",,
16,2026-02-01,Sunday,1h 40m,Part 3: Navigation,"3.1.1, 3.1.2, 3.1.3","2 quizzes",,
17,2026-02-02,Monday,1h 22m,Part 3: Navigation,"3.1.4, 3.1.5, 3.1.6, 3.1.7, 3.1.8 (Part A)","0 quizzes",,
18,2026-02-03,Tuesday,1h 24m,Part 3: Navigation,"3.1.8 (Aerodrome), 3.1.9, SAR Knowledge","1 quiz",,
19,2026-02-04,Wednesday,1h 0m,Part 3: Navigation,"3.2.1, 3.2.2, 3.2.2a","0 quizzes",,
20,2026-02-05,Thursday,1h 25m,Part 3: Navigation,"3.2.2b-i, 3.2.3c-g, 3.2.5, 3.2.9","0 quizzes",,
21,2026-02-06,Friday,1h 30m,Part 3: Navigation,"3.3.1-3.3.5, 3.4.1","1 quiz",,
22,2026-02-07,Saturday,1h 43m,Part 3-4: Navigation & Air Law,"3.4.2, 3.4.3, 3.4.4, 4.1.1","2 quizzes",,
23,2026-02-08,Sunday,1h 38m,Part 4: Air Law & Regulations,"4.1.2 (Reading), 4.1.2, 4.1.3, Top 13 Questions, 4.1.3 (TC), 4.1.4","1 quiz",,
24,2026-02-09,Monday,1h 17m,Part 4: Air Law & Regulations,"4.1.5, 4.1.6, 4.1.7, 4.1.8","0 quizzes",,
25,2026-02-10,Tuesday,1h 22m,Part 4: Air Law & Regulations,"4.1.9, 4.2.1, 4.2.2, 4.2.3, 4.2.4","1 quiz",,
26,2026-02-11,Wednesday,1h 20m,Part 4: Final Review,"CARs 602.11, Meteorology Review, 1.8.5, Exam Prep Videos, Reading","0 quizzes",,
27-29,2026-02-12 to 2026-02-14,Thu-Sat,Light Days,Final Review & Rest,"All videos complete! Review notes and challenging sections","N/A",,
BREAK,2026-02-15,Saturday,BREAK,BREAK PERIOD,Rest and recharge - All videos complete!,No quizzes,,
BREAK,2026-02-16,Sunday,BREAK,BREAK PERIOD,Rest and recharge - All videos complete!,No quizzes,,
BREAK,2026-02-17,Monday,BREAK,BREAK PERIOD,Rest and recharge - All videos complete!,No quizzes,,
BREAK,2026-02-18,Tuesday,BREAK,BREAK PERIOD,Rest and recharge - All videos complete!,No quizzes,,
BREAK,2026-02-19,Wednesday,BREAK,BREAK PERIOD,Rest and recharge - All videos complete!,No quizzes,,
PT1,2026-02-20,Thursday,PRACTICE,Week 1: Initial Assessment,Take first practice exam (untimed),Practice exam,,
PT1,2026-02-21,Friday,PRACTICE,Week 1: Initial Assessment,Review results - identify weak areas,Review,,
PT1,2026-02-22,Saturday,PRACTICE,Week 1: Initial Assessment,Review results - identify weak areas,Review,,
PT1,2026-02-23,Sunday,PRACTICE,Week 1: Initial Assessment,Re-watch videos for weak topics,Study weak areas,,
PT1,2026-02-24,Monday,PRACTICE,Week 1: Initial Assessment,Retake quizzes on weak topics,Targeted quizzes,,
PT1,2026-02-25,Tuesday,PRACTICE,Week 1: Initial Assessment,Take second practice exam (untimed),Practice exam,,
PT1,2026-02-26,Wednesday,PRACTICE,Week 1: Initial Assessment,Review results - study weak areas,Review & study,,
PT1,2026-02-27,Thursday,PRACTICE,Week 1: Initial Assessment,Review results - study weak areas,Review & study,,
PT1,2026-02-28,Friday,PRACTICE,Week 1: Initial Assessment,Take third practice exam (begin timing),Practice exam,,
PT2,2026-03-01,Saturday,PRACTICE,Week 2-3: Intensive Practice,Review results immediately,Review,,
PT2,2026-03-02,Sunday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas from last exam,Study,,
PT2,2026-03-03,Monday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-04,Tuesday,PRACTICE,Week 2-3: Intensive Practice,Review results - re-watch videos if needed,Review & study,,
PT2,2026-03-05,Wednesday,PRACTICE,Week 2-3: Intensive Practice,Transport Canada sample questions,Sample questions,,
PT2,2026-03-06,Thursday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-07,Friday,PRACTICE,Week 2-3: Intensive Practice,Review results - focus on WHY,Review,,
PT2,2026-03-08,Saturday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas,Study,,
PT2,2026-03-09,Sunday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-10,Monday,PRACTICE,Week 2-3: Intensive Practice,Review results - retake quizzes,Review & quizzes,,
PT2,2026-03-11,Tuesday,PRACTICE,Week 2-3: Intensive Practice,Transport Canada sample questions,Sample questions,,
PT2,2026-03-12,Wednesday,PRACTICE,Week 2-3: Intensive Practice,Take timed practice exam,Practice exam,,
PT2,2026-03-13,Thursday,PRACTICE,Week 2-3: Intensive Practice,Review results,Review,,
PT2,2026-03-14,Friday,PRACTICE,Week 2-3: Intensive Practice,Study weak areas,Study,,
PT3,2026-03-15,Saturday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-16,Sunday,PRACTICE,Week 4-5: Exam Simulation,Review results - focus on any remaining gaps,Review,,
PT3,2026-03-17,Monday,PRACTICE,Week 4-5: Exam Simulation,Study weak areas,Study,,
PT3,2026-03-18,Tuesday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-19,Wednesday,PRACTICE,Week 4-5: Exam Simulation,Review results immediately,Review,,
PT3,2026-03-20,Thursday,PRACTICE,Week 4-5: Exam Simulation,Re-watch videos for missed topics,Study,,
PT3,2026-03-21,Friday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-22,Saturday,PRACTICE,Week 4-5: Exam Simulation,Review results - aim for 90%+,Review,,
PT3,2026-03-23,Sunday,PRACTICE,Week 4-5: Exam Simulation,Practice time management,Study,,
PT3,2026-03-24,Monday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-25,Tuesday,PRACTICE,Week 4-5: Exam Simulation,Review results,Review,,
PT3,2026-03-26,Wednesday,PRACTICE,Week 4-5: Exam Simulation,Retake difficult quizzes from course,Targeted quizzes,,
PT3,2026-03-27,Thursday,PRACTICE,Week 4-5: Exam Simulation,Take full timed practice exam (test conditions),Practice exam,,
PT3,2026-03-28,Friday,PRACTICE,Week 4-5: Exam Simulation,Review results - target 90%+ consistently,Review,,
FINAL,2026-03-29,Saturday,FINAL,Week 6: Final Prep,Take final practice exam (test conditions),Practice exam,,
FINAL,2026-03-30,Sunday,FINAL,Week 6: Final Prep,Take second final practice exam (test conditions),Practice exam,,
FINAL,2026-03-31,Monday,FINAL,Week 6: Final Prep,Light review - areas you're least confident,Light review,,
FINAL,2026-04-01,Tuesday,FINAL,Week 6: Final Prep,Very light review - early night - stay relaxed,Light review,,
TEST,2026-04-02,Wednesday,TEST DAY,TEST DAY!,Private Pilot Written Exam - You've got this!,THE REAL EXAM!,,
